,serviceCharge,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,yearConstructedRange,baseRent,livingSpace,baseRentRange,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,livingSpaceRange,lastRefurbish,americanArea,condition_num,newlyConst_num,balcony_num,hasKitchen_num,cellar_num,lift_num,garden_num,heatingType_num,interiorQual_num
141,92.0,8,5.76,40.0,661.4,2010.0,111354004,1.0,7.0,501.4,46.0,4,48161,1.5,97.3,3.0,3.0,1,2,2017.0,495.1394,2,0,1,1,0,1,0,15,13
142,100.0,12,4.77,40.0,740.0,1957.0,114833722,1.0,2.0,640.0,75.0,5,48165,3.0,201.8,0.0,3.0,3,3,2017.0,807.2925,2,0,0,0,0,0,0,15,13
143,260.0,23,4.19,40.0,2360.0,1906.0,115231981,1.0,1.0,2100.0,148.0,9,48149,4.0,97.3,3.0,3.0,4,6,2017.0,1593.0572,0,0,1,1,0,0,0,30,13
144,212.0,6,5.79,40.0,921.0,1974.0,114521793,1.0,3.0,709.0,82.0,5,48159,3.0,139.1,1.0,2.0,3,4,2017.0,882.6397999999999,2,0,0,0,0,0,0,15,13
145,65.0,14,5.79,40.0,925.0,1996.0,115566313,1.0,5.0,860.0,55.0,6,48159,2.0,97.3,0.0,3.0,2,2,2017.0,592.0145,5,0,1,1,0,0,1,15,13
146,150.0,15,5.61,10.0,1000.0,1976.0,107365528,1.0,3.0,850.0,60.0,6,48149,1.0,203.0,0.0,3.0,1,2,2017.0,645.834,0,0,1,1,1,0,0,15,13
147,220.0,6,5.32,40.0,1320.0,1988.0,112538594,1.0,4.0,1100.0,130.0,7,48153,3.5,97.3,1.0,2.0,3,6,2019.0,1399.307,3,0,1,0,1,0,0,11,13
148,80.0,9,1.43,40.0,470.0,1976.0,80319316,1.0,3.0,390.0,33.0,2,48163,1.5,97.3,3.0,3.0,1,1,2017.0,355.2087,0,0,1,1,1,0,0,15,6
149,190.0,8,5.9,40.0,885.0,1974.0,110303035,1.0,3.0,695.0,100.0,5,48167,3.0,97.3,1.0,1.0,3,4,2012.0,1076.39,1,0,1,1,1,0,0,11,13
150,500.0,10,4.38,2.4,1900.0,1955.0,114670215,1.0,2.0,1400.0,138.0,7,48157,3.0,97.6,1.0,3.0,3,6,2017.0,1485.4181999999998,0,0,0,0,0,0,1,15,13
151,220.0,0,4.92,10.0,880.0,1995.0,113850383,1.0,5.0,660.0,55.0,5,48413,2.0,97.3,2.0,3.0,2,2,2017.0,592.0145,2,0,0,1,1,1,0,30,13
152,310.0,27,5.94,40.0,2000.0,2018.0,108893127,1.0,9.0,1690.0,130.29,8,48149,4.0,54.0,1.0,3.0,4,6,2017.0,1402.4285309999998,6,1,1,0,1,1,0,13,13
153,300.0,23,4.1,40.0,1605.0,1995.0,115454307,1.0,5.0,1215.0,89.3,7,48149,2.5,79.0,1.0,3.0,2,4,2017.0,961.21627,5,0,1,0,0,1,0,15,6
154,130.0,4,5.86,40.0,1045.0,2018.0,58985847,1.0,9.0,800.0,88.9,5,48161,3.0,97.3,2.0,3.0,3,4,2018.0,956.91071,6,1,1,0,1,0,0,15,13
155,130.0,6,4.17,40.0,550.0,1997.0,115660865,1.0,5.0,420.0,24.0,3,48155,1.0,97.3,0.0,0.0,1,1,2020.0,258.3336,4,0,1,1,0,0,1,15,6
156,90.0,21,6.56,40.0,940.0,1953.0,111320177,1.0,2.0,850.0,63.0,6,48153,2.0,97.3,4.0,4.0,2,3,2017.0,678.1256999999999,6,0,1,0,1,0,0,11,13
157,290.0,28,4.52,40.0,2090.0,2017.0,113186487,1.0,9.0,1700.0,111.0,8,48149,4.0,52.7,3.0,3.0,4,5,2017.0,1194.7929,5,0,1,1,1,1,0,13,13
158,150.0,13,5.28,40.0,1350.0,2018.0,107248438,1.0,9.0,1200.0,80.0,7,48151,2.0,97.3,2.0,2.0,2,3,2018.0,861.112,5,1,0,1,1,0,0,13,13
